buffer_size,on_time_delivery_rate,total_delay,late_orders,percentage_late_orders,avg_delay_late_orders,bundling_rate,avg_distance_per_order,active_period_idle_rate,on_time_delivery_rate_std,total_delay_std,late_orders_std,percentage_late_orders_std,avg_delay_late_orders_std,bundling_rate_std,avg_distance_per_order_std,active_period_idle_rate_std
0,57.77777777777777,643.0053844119805,57.0,42.22222222222222,11.280796217754043,3.7037037037037033,97.57933355993153,0.36867043528240384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,65.0,351.3815604539719,49.0,35.0,7.171052254162691,0.0,102.61838422375072,0.3637468490286224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,64.03508771929825,610.7649387378827,41.0,35.96491228070175,14.89670582287519,4.385964912280701,104.98897459286881,0.38455198327565043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,72.17391304347827,221.71816102103315,32.0,27.82608695652174,6.928692531907286,0.0,105.95675023317372,0.48338145557156215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,48.99328859060403,2005.0256217236106,76.0,51.006711409395976,26.381916075310667,8.053691275167784,112.11095475916972,0.356403239587083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,71.96261682242991,260.7674621534668,30.0,28.037383177570092,8.692248738448892,0.9345794392523363,131.06155185397432,0.43130435295883346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,66.16541353383458,685.2954853607743,45.0,33.83458646616541,15.228788563572762,1.5037593984962405,92.92571720191994,0.38780998317036414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,89.51612903225806,78.5220760029564,13.0,10.483870967741936,6.0401596925351075,0.0,98.63854378860553,0.39297517382308456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,73.27586206896551,256.3951710788258,31.0,26.72413793103448,8.270811970284702,1.7241379310344827,102.75524255627684,0.3970150167778161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,63.565891472868216,436.0805651887369,47.0,36.434108527131784,9.2783098976327,1.550387596899225,99.43469327098752,0.4406444669885343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,61.15702479338842,1051.3780148824296,47.0,38.84297520661157,22.369744997498504,3.3057851239669422,117.69834237895061,0.40749639791497894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,57.931034482758626,951.4826532953088,61.0,42.06896551724138,15.598076283529652,2.7586206896551726,101.74032534035578,0.31586518503029093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,79.48717948717949,243.42657507994494,24.0,20.51282051282051,10.142773961664373,0.8547008547008548,99.0997296816546,0.4573637146334334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,69.74789915966386,304.2285945493564,36.0,30.252100840336134,8.450794293037678,1.680672268907563,116.07230991274157,0.4242366029504594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,59.84251968503938,472.38324996388207,51.0,40.15748031496063,9.262416665958472,0.7874015748031495,113.1028289198881,0.35778038273400303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,59.285714285714285,793.5626326321495,57.0,40.714285714285715,13.922151449686833,2.857142857142857,108.70094125702897,0.3477174900895752,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,66.38655462184873,465.92530869595555,40.0,33.61344537815126,11.64813271739889,0.8403361344537815,119.08553565115223,0.36044718866427666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,68.9922480620155,425.69334252469764,40.0,31.007751937984494,10.642333563117441,0.7751937984496124,98.0077382070442,0.34190900248257206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,64.16666666666667,552.0135349571798,43.0,35.833333333333336,12.837524068771623,3.3333333333333335,113.85599657816243,0.4560926622398632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,58.4,581.3841677612689,52.0,41.6,11.180464764639787,2.4,101.060488861084,0.43904164316636624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,56.55172413793104,1183.8583755734157,63.0,43.44827586206896,18.791402786879615,4.137931034482759,114.7738698551534,0.24016632740983676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,61.66666666666667,449.0164638807463,46.0,38.333333333333336,9.761227475668397,0.8333333333333334,106.08107073990544,0.5011303283698421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,64.33566433566433,801.1070167835028,51.0,35.66433566433567,15.707980721245153,2.097902097902098,102.47183071590088,0.35378037551700847,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,67.96875,396.5027637339842,41.0,32.03125,9.670799115463028,2.34375,104.8400181436914,0.32990203171274174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,66.38655462184873,363.0094364881195,40.0,33.61344537815126,9.075235912202988,0.8403361344537815,104.41580046854077,0.4824661340295059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,59.06040268456376,998.4404119003802,61.0,40.939597315436245,16.367875604924265,0.0,84.82745174380833,0.35867754601137775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,63.114754098360656,460.59231012112434,45.0,36.885245901639344,10.235384669358318,0.819672131147541,103.0916646825145,0.39053121597435425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,58.69565217391305,870.5315556515664,57.0,41.30434782608695,15.27248343248362,3.6231884057971016,110.2633528517754,0.35432822594648894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,74.3421052631579,261.72613055556656,39.0,25.657894736842106,6.710926424501706,0.6578947368421052,96.19212811846599,0.3359374919162266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,66.22516556291392,652.0575745836236,51.0,33.77483443708609,12.78544263889458,1.9867549668874174,111.1104076317422,0.3035840211093281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,54.074074074074076,1112.417523497253,62.0,45.925925925925924,17.942218120923435,3.7037037037037033,123.4657585244788,0.3535663628806434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,39.33333333333333,1970.760331926496,91.0,60.66666666666667,21.656706944247208,6.0,122.97271449459714,0.3009128980907543,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,62.96296296296296,593.2618893836085,50.0,37.03703703703704,11.86523778767217,2.2222222222222223,114.84208172990247,0.33589839861966725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,77.5,148.15865037291383,27.0,22.5,5.487357421219031,0.0,98.90142471468033,0.40004170514075604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,59.83606557377049,877.7502525698573,49.0,40.16393442622951,17.913270460609333,4.098360655737705,103.8639825412604,0.38598110211611647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,64.05228758169935,684.535890867741,55.0,35.947712418300654,12.4461071066862,0.6535947712418301,107.74830096309368,0.30160691710998844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,65.64885496183206,515.4309809707026,45.0,34.35114503816794,11.454021799348947,0.7633587786259541,108.97232575902565,0.3400136443117676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,60.99290780141844,559.8814900653964,55.0,39.00709219858156,10.179663455734481,1.4184397163120568,103.67651136049066,0.328535064609365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,52.51798561151079,1014.9518194095054,66.0,47.482014388489205,15.378057869840992,2.877697841726619,111.71245569864294,0.34131379071984846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,63.888888888888886,681.6126884667024,52.0,36.11111111111111,13.107936316667352,0.6944444444444444,99.14639806381933,0.32628770698606924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
